treatment,group,HS,vial,wet.mass,(Intercept),time,slope,adj.slope,mgO2hrg
Coos13HS,Coos13,HS,16,692.3,92.19561804,-0.059610023,0.059610023,0.059610023,0.361638159
Coos13HS,Coos13,HS,18,693.4,83.36425323,-0.024470817,0.024470817,0.024470817,0.148222428
Coos13HS,Coos13,HS,19,594.9,84.39886251,-0.09320269,0.09320269,0.09320269,0.658011933
Coos13HS,Coos13,HS,21,776,99.55843274,-0.119065829,0.119065829,0.119065829,0.644428456
Coos13HS,Coos13,HS,22,504.2,93.19098535,-0.033532001,0.033532001,0.033532001,0.279322499
PtMolate13,PtMolate13,noHS,4,1403.2,65.72475118,-0.296879682,0.296879682,0.296879682,0.888607941
PtMolate13,PtMolate13,noHS,12,1687.7,54.20067165,-0.087129216,0.087129216,0.087129216,0.216829239
PtMolate13,PtMolate13,noHS,15,1062.7,58.33127655,-0.24235494,0.24235494,0.24235494,0.957834523
PtMolate13,PtMolate13,noHS,21,770.3,64.54036839,-0.169714067,0.169714067,0.169714067,0.925352564
PtMolate13,PtMolate13,noHS,22,2177.5,62.85681932,-0.199569448,0.199569448,0.199569448,0.384933034
PtMolate13HS,PtMolate13,HS,4,1403.2,116.9128947,-0.102414415,0.102414415,0.102414415,0.306542577
PtMolate13HS,PtMolate13,HS,12,1687.7,120.6291097,-0.164795775,0.164795775,0.164795775,0.410109767
PtMolate13HS,PtMolate13,HS,15,1062.7,111.8074129,-0.099243824,0.099243824,0.099243824,0.392231168
PtMolate13HS,PtMolate13,HS,21,770.3,97.33870256,0.116783663,0.116783663,0.116783663,0.636753714
PtMolate13HS,PtMolate13,HS,22,2177.5,119.5962171,-0.290289555,0.290289555,0.290289555,0.55991556
Tomales13,Tomales13,noHS,7,266.8,99.08631734,-0.040303555,0.040303555,0.021887812,0.344560763
Tomales13,Tomales13,noHS,14,109.7,105.2129288,-0.032039022,0.032039022,0.013623279,0.521584069
Tomales13,Tomales13,noHS,15,235.4,103.490158,-0.047897934,0.047897934,0.029482191,0.526020405
Tomales13,Tomales13,noHS,16,431.1,99.31656036,-0.116433048,0.116433048,0.098017305,0.954935473
Tomales13HS,Tomales13,HS,7,266.8,98.28931029,-0.051008368,0.051008368,0.032592625,0.513077308
Tomales13HS,Tomales13,HS,14,109.7,99.40478431,-0.042749438,0.042749438,0.024333695,0.931645577
Tomales13HS,Tomales13,HS,15,235.4,100.6962107,-0.109020398,0.109020398,0.090604655,1.616565634
Tomales13HS,Tomales13,HS,16,431.1,94.75546492,0.02503207,0.02503207,0.006616328,0.064459699
BayFarm13,BayFarm13,noHS,1,1876.3,91.98362997,-0.37625153,0.37625153,0.357835787,0.800996805
BayFarm13,BayFarm13,noHS,2,1082.8,93.47030162,-0.199529401,0.199529401,0.181113658,0.702509572
BayFarm13,BayFarm13,noHS,5,14.8,100.7778232,-0.021833601,0.021833601,0.003417859,0.969932854
BayFarm13,BayFarm13,noHS,6,961.9,91.99321817,-0.222417617,0.222417617,0.204001874,0.890745266
BayFarm13,BayFarm13,noHS,18,2759.1,104.2699431,-0.398147476,0.398147476,0.379731734,0.57804113
BayFarm13HS,BayFarm13,HS,1,1876.3,93.36215155,-0.117214426,0.117214426,0.098798684,0.221155717
BayFarm13HS,BayFarm13,HS,2,1082.8,97.19346788,-0.047296171,0.047296171,0.028880429,0.11202235
BayFarm13HS,BayFarm13,HS,5,14.8,95.94455208,-0.01848845,0.01848845,7.27E-05,0.020633275
BayFarm13HS,BayFarm13,HS,6,961.9,95.35365354,-0.103276473,0.103276473,0.084860731,0.370532351
BayFarm13HS,BayFarm13,HS,18,2759.1,90.58895607,-0.184569392,0.184569392,0.16615365,0.252924986
PointOrient13,PointOrient13,noHS,4,2436.4,83.51819477,-0.221499255,0.221499255,0.203083512,0.350086501
PointOrient13,PointOrient13,noHS,6,1844.8,94.20854082,-0.717144225,0.717144225,0.698728482,1.590773864
PointOrient13,PointOrient13,noHS,7,215.1,88.92832114,-0.147310008,0.147310008,0.128894265,2.516763889
PointOrient13,PointOrient13,noHS,11,1005.8,92.22121746,-0.072805573,0.072805573,0.054389831,0.227119992
PointOrient13,PointOrient13,noHS,12,2920.4,90.2560251,-0.48248902,0.48248902,0.464073277,0.667411233
PointOrient13,PointOrient13,noHS,16,2334.5,94.95636283,-0.663572361,0.663572361,0.645156618,1.160701562
PointOrient13HS,PointOrient13,HS,4,2436.4,95.70258715,-0.210312903,0.210312903,0.191897161,0.330802854
PointOrient13HS,PointOrient13,HS,6,1844.8,96.72132763,-0.200551503,0.200551503,0.18213576,0.41466294
PointOrient13HS,PointOrient13,HS,7,215.1,84.41548774,0.005389744,0.005389744,-0.013025999,0
PointOrient13HS,PointOrient13,HS,11,1005.8,95.83906215,-0.025653226,0.025653226,0.007237483,0.03022214
PointOrient13HS,PointOrient13,HS,12,2920.4,104.5899543,-0.42875533,0.42875533,0.410339587,0.590133634
PointOrient13HS,PointOrient13,HS,16,2334.5,96.08780968,-0.142550858,0.142550858,0.124135116,0.223331543
CrownBeach13,CrownBeach13,noHS,1,1471.3,92.86472535,-0.317885666,0.317885666,0.299469924,0.854872344
CrownBeach13,CrownBeach13,noHS,2,215.1,94.70984198,-0.001344,0.001344,-0.017071743,0
CrownBeach13,CrownBeach13,noHS,3,134.9,83.04522046,0.126299352,0.126299352,0.107883609,3.358867005
CrownBeach13,CrownBeach13,noHS,5,761.9,95.56135689,-0.108049512,0.108049512,0.089633769,0.494109242
CrownBeach13,CrownBeach13,noHS,9,311.9,91.89523454,-0.03718121,0.03718121,0.018765468,0.252693055
CrownBeach13,CrownBeach13,noHS,14,1573.6,95.02472051,-0.491784307,0.491784307,0.473368565,1.263439229
CrownBeach13,CrownBeach13,noHS,18,136.2,88.91400561,0.020459135,0.020459135,0.002043392,0.0630121
CrownBeach13HS,CrownBeach13,HS,1,1471.3,99.11386388,-0.177632956,0.177632956,0.159217214,0.454504382
CrownBeach13HS,CrownBeach13,HS,2,215.1,99.02686005,-0.041186379,0.041186379,0.022770636,0.444614934
CrownBeach13HS,CrownBeach13,HS,3,134.9,96.0301725,-0.027633982,0.027633982,0.009218239,0.287002266
CrownBeach13HS,CrownBeach13,HS,5,761.9,95.36092456,-0.120101403,0.120101403,0.101685661,0.560545708
CrownBeach13HS,CrownBeach13,HS,9,311.9,94.26747696,-0.054841731,0.054841731,0.036425988,0.490507052
CrownBeach13HS,CrownBeach13,HS,14,1573.6,97.19529116,-0.050769404,0.050769404,0.032353661,0.086353189
CrownBeach13HS,CrownBeach13,HS,18,136.2,93.86409908,-0.02926043,0.02926043,0.010844687,0.334417671
OceanShores13,OceanShores13,noHS,11,4765.1,89.94544773,-0.445955041,0.445955041,0.427539299,0.376836804
OceanShores13,OceanShores13,noHS,14,3205.8,97.69909224,-0.50750704,0.50750704,0.489091297,0.64077093
OceanShores13HS,OceanShores13,HS,11,4765.1,90.63745302,-0.568776977,0.568776977,0.550361235,0.485093111
OceanShores13HS,OceanShores13,HS,14,3205.8,98.40659792,-0.090117845,0.090117845,0.071702102,0.093938745
ParadisePark13,ParadisePark13,noHS,3,1927,89.66589357,-0.174327221,0.174327221,0.155911478,0.339817441
ParadisePark13,ParadisePark13,noHS,15,778.3,99.20283047,-0.20458656,0.20458656,0.186170817,1.004647864
ParadisePark13,ParadisePark13,noHS,18,2572.5,93.95125588,-0.317738412,0.317738412,0.299322669,0.488690072
ParadisePark13HS,ParadisePark13,HS,3,1927,90.14886341,-0.064103845,0.064103845,0.045688102,0.099579672
ParadisePark13HS,ParadisePark13,HS,15,778.3,96.52945183,-0.091504988,0.091504988,0.073089245,0.3944171
ParadisePark13HS,ParadisePark13,HS,18,2572.5,89.99638325,-0.113477961,0.113477961,0.095062218,0.155203622
